Sector - Reduction Level,Emissions (MMTCO2e)
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_84,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_84,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_84,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_53,0.6529820518713627
Mobile Combustion - Motorcycle - R1_67_R2_53,0.02325527249666194
Mobile Combustion - Trucks - R1_67_R2_53,1.1357621786263987
Mobile Combustion - Buses - R1_67_R2_53,0.012841484313975655
Electricity Consumption - Residential Electricity - R1_67_R2_53,0.38843083965721925
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_53,0.44608471401920824
Stationary Combustion - Residential fuel oil - R1_67_R2_53,0.48232743326541366
Stationary Combustion - Residential natural gas - R1_67_R2_53,0.3427063341622676
Stationary Combustion - Residential propane - R1_67_R2_53,0.03807848157358529
Stationary Combustion - Commercial fuel - R1_67_R2_53,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_53,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_53,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_53,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_53,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_53,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_70,0.5359545805492305
Mobile Combustion - Motorcycle - R1_67_R2_70,0.019087461563127107
Mobile Combustion - Trucks - R1_67_R2_70,0.9322108322960594
Mobile Combustion - Buses - R1_67_R2_70,0.010540032944859848
Electricity Consumption - Residential Electricity - R1_67_R2_70,0.3188162479263396
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_70,0.36613739245422183
Stationary Combustion - Residential fuel oil - R1_67_R2_70,0.39588469000381843
Stationary Combustion - Residential natural gas - R1_67_R2_70,0.281286490265871
Stationary Combustion - Residential propane - R1_67_R2_70,0.03125405447398567
Stationary Combustion - Commercial fuel - R1_67_R2_70,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_70,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_70,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_70,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_70,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_70,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_67,0.5573797015661465
Mobile Combustion - Motorcycle - R1_67_R2_67,0.019850494828887517
Mobile Combustion - Trucks - R1_67_R2_67,0.9694765458846168
Mobile Combustion - Buses - R1_67_R2_67,0.010961377382544267
Electricity Consumption - Residential Electricity - R1_67_R2_67,0.33156112770137774
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_67,0.3807739647065028
Stationary Combustion - Residential fuel oil - R1_67_R2_67,0.4117104291613868
Stationary Combustion - Residential natural gas - R1_67_R2_67,0.29253109440414327
Stationary Combustion - Residential propane - R1_67_R2_67,0.032503454933793696
Stationary Combustion - Commercial fuel - R1_67_R2_67,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_67,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_67,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_67,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_67,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_67,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_65,0.5682222110258496
Mobile Combustion - Motorcycle - R1_67_R2_65,0.020236639457687673
Mobile Combustion - Trucks - R1_67_R2_65,0.9883354289587196
Mobile Combustion - Buses - R1_67_R2_65,0.011174605165378241
Electricity Consumption - Residential Electricity - R1_67_R2_65,0.3380108686113369
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_65,0.388181025463718
Stationary Combustion - Residential fuel oil - R1_67_R2_65,0.4197192859789166
Stationary Combustion - Residential natural gas - R1_67_R2_65,0.2982215979323881
Stationary Combustion - Residential propane - R1_67_R2_65,0.03313573310359868
Stationary Combustion - Commercial fuel - R1_67_R2_65,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_65,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_65,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_65,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_65,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_65,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_66,0.5609226758699317
Mobile Combustion - Motorcycle - R1_67_R2_66,0.019976674151346796
Mobile Combustion - Trucks - R1_67_R2_66,0.9756390065564718
Mobile Combustion - Buses - R1_67_R2_66,0.011031053185755837
Electricity Consumption - Residential Electricity - R1_67_R2_66,0.3336686901983242
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_66,0.3831943477393167
Stationary Combustion - Residential fuel oil - R1_67_R2_66,0.4143274592882833
Stationary Combustion - Residential natural gas - R1_67_R2_66,0.2943905631785171
Stationary Combustion - Residential propane - R1_67_R2_66,0.03271006257539079
Stationary Combustion - Commercial fuel - R1_67_R2_66,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_66,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_66,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_66,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_66,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_66,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_64,0.5773490171131148
Mobile Combustion - Motorcycle - R1_67_R2_64,0.020561681106191297
Mobile Combustion - Trucks - R1_67_R2_64,1.004210109029735
Mobile Combustion - Buses - R1_67_R2_64,0.011354092085226081
Electricity Consumption - Residential Electricity - R1_67_R2_64,0.3434400116355673
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_64,0.3944160033956207
Stationary Combustion - Residential fuel oil - R1_67_R2_64,0.4264608326131096
Stationary Combustion - Residential natural gas - R1_67_R2_64,0.3030116442251042
Stationary Combustion - Residential propane - R1_67_R2_64,0.03366796046945602
Stationary Combustion - Commercial fuel - R1_67_R2_64,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_64,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_64,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_64,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_64,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_64,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_59,0.6143429099961657
Mobile Combustion - Motorcycle - R1_67_R2_59,0.02187917989079365
Mobile Combustion - Trucks - R1_67_R2_59,1.068555314623537
Mobile Combustion - Buses - R1_67_R2_59,0.012081610542753578
Electricity Consumption - Residential Electricity - R1_67_R2_59,0.3654460818385251
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_59,0.41968838275107034
Stationary Combustion - Residential fuel oil - R1_67_R2_59,0.45378649853247344
Stationary Combustion - Residential natural gas - R1_67_R2_59,0.3224272489572838
Stationary Combustion - Residential propane - R1_67_R2_59,0.03582524988414264
Stationary Combustion - Commercial fuel - R1_67_R2_59,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_59,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_59,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_59,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_59,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_59,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_79,0.47474458447593404
Mobile Combustion - Motorcycle - R1_67_R2_79,0.016907531603146314
Mobile Combustion - Trucks - R1_67_R2_79,0.825745427474158
Mobile Combustion - Buses - R1_67_R2_79,0.009336282853749236
Electricity Consumption - Residential Electricity - R1_67_R2_79,0.28240506311348434
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_79,0.32432178126671507
Stationary Combustion - Residential fuel oil - R1_67_R2_79,0.35067171636754585
Stationary Combustion - Residential natural gas - R1_67_R2_79,0.24916148268220362
Stationary Combustion - Residential propane - R1_67_R2_79,0.027684609186911513
Stationary Combustion - Commercial fuel - R1_67_R2_79,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_79,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_79,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_79,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_79,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_79,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_92,0.3795230561225579
Mobile Combustion - Motorcycle - R1_67_R2_92,0.0135163165106944
Mobile Combustion - Trucks - R1_67_R2_92,0.6601221761384977
Mobile Combustion - Buses - R1_67_R2_92,0.007463665131411659
Electricity Consumption - Residential Electricity - R1_67_R2_92,0.2257618857003446
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_92,0.2592711904851545
Stationary Combustion - Residential fuel oil - R1_67_R2_92,0.2803360077050028
Stationary Combustion - Residential natural gas - R1_67_R2_92,0.19918611073776515
Stationary Combustion - Residential propane - R1_67_R2_92,0.022131790081973905
Stationary Combustion - Commercial fuel - R1_67_R2_92,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_92,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_92,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_92,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_92,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_92,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_74,0.5105436412063944
Mobile Combustion - Motorcycle - R1_67_R2_74,0.018182477548451283
Mobile Combustion - Trucks - R1_67_R2_74,0.8880123987460842
Mobile Combustion - Buses - R1_67_R2_74,0.010040303774602806
Electricity Consumption - Residential Electricity - R1_67_R2_74,0.3037003768589355
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_74,0.3487779082582587
Stationary Combustion - Residential fuel oil - R1_67_R2_74,0.3771148124628232
Stationary Combustion - Residential natural gas - R1_67_R2_74,0.2679499983288481
Stationary Combustion - Residential propane - R1_67_R2_74,0.029772222036538672
Stationary Combustion - Commercial fuel - R1_67_R2_74,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_74,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_74,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_74,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_74,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_74,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_55,0.6382112863092756
Mobile Combustion - Motorcycle - R1_67_R2_55,0.022729227137304474
Mobile Combustion - Trucks - R1_67_R2_55,1.1100706962545663
Mobile Combustion - Buses - R1_67_R2_55,0.012551003811904642
Electricity Consumption - Residential Electricity - R1_67_R2_55,0.37964434873726405
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_55,0.43599406495354837
Stationary Combustion - Residential fuel oil - R1_67_R2_55,0.4714169565983916
Stationary Combustion - Residential natural gas - R1_67_R2_55,0.3349541533725414
Stationary Combustion - Residential propane - R1_67_R2_55,0.0372171281525046
Stationary Combustion - Commercial fuel - R1_67_R2_55,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_55,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_55,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_55,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_55,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_55,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_54,0.645726190062172
Mobile Combustion - Motorcycle - R1_67_R2_54,0.02299686257086494
Mobile Combustion - Trucks - R1_67_R2_54,1.123141719315762
Mobile Combustion - Buses - R1_67_R2_54,0.012698791210328983
Electricity Consumption - Residential Electricity - R1_67_R2_54,0.3841146406332131
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_54,0.4411278717433146
Stationary Combustion - Residential fuel oil - R1_67_R2_54,0.4769678660422016
Stationary Combustion - Residential natural gas - R1_67_R2_54,0.33889822060893277
Stationary Combustion - Residential propane - R1_67_R2_54,0.03765535784543697
Stationary Combustion - Commercial fuel - R1_67_R2_54,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_54,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_54,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_54,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_54,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_54,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_60,0.608565332141079
Mobile Combustion - Motorcycle - R1_67_R2_60,0.021673417501145015
Mobile Combustion - Trucks - R1_67_R2_60,1.0585061036336312
Mobile Combustion - Buses - R1_67_R2_60,0.011967989233888745
Electricity Consumption - Residential Electricity - R1_67_R2_60,0.36200925013541063
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_60,0.4157414302156616
Stationary Combustion - Residential fuel oil - R1_67_R2_60,0.44951887082456204
Stationary Combustion - Residential natural gas - R1_67_R2_60,0.3193949871648204
Stationary Combustion - Residential propane - R1_67_R2_60,0.03548833190720227
Stationary Combustion - Commercial fuel - R1_67_R2_60,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_60,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_60,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_60,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_60,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_60,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_83,0.4420906018459613
Mobile Combustion - Motorcycle - R1_67_R2_83,0.015744594180923138
Mobile Combustion - Trucks - R1_67_R2_83,0.7689488304676102
Mobile Combustion - Buses - R1_67_R2_83,0.008694112667708294
Electricity Consumption - Residential Electricity - R1_67_R2_83,0.2629806182075909
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_83,0.30201421176869586
Stationary Combustion - Residential fuel oil - R1_67_R2_83,0.32655174004863946
Stationary Combustion - Residential natural gas - R1_67_R2_83,0.23202360477140171
Stationary Combustion - Residential propane - R1_67_R2_83,0.025780400530155748
Stationary Combustion - Commercial fuel - R1_67_R2_83,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_83,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_83,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_83,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_83,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_83,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_89,0.4041794335879375
Mobile Combustion - Motorcycle - R1_67_R2_89,0.014394427593678524
Mobile Combustion - Trucks - R1_67_R2_89,0.703008164975188
Mobile Combustion - Buses - R1_67_R2_89,0.00794855515795026
Electricity Consumption - Residential Electricity - R1_67_R2_89,0.24042890047408222
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_89,0.27611519570531684
Stationary Combustion - Residential fuel oil - R1_67_R2_89,0.29854852552600186
Stationary Combustion - Residential natural gas - R1_67_R2_89,0.2121265839263698
Stationary Combustion - Residential propane - R1_67_R2_89,0.02356962043626331
Stationary Combustion - Commercial fuel - R1_67_R2_89,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_89,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_89,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_89,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_89,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_89,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_58,0.617217088883988
Mobile Combustion - Motorcycle - R1_67_R2_58,0.02198154076434125
Mobile Combustion - Trucks - R1_67_R2_58,1.0735545081940794
Mobile Combustion - Buses - R1_67_R2_58,0.012138133877503367
Electricity Consumption - Residential Electricity - R1_67_R2_58,0.3671558068080283
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_58,0.42165187816957356
Stationary Combustion - Residential fuel oil - R1_67_R2_58,0.4559095206304561
Stationary Combustion - Residential natural gas - R1_67_R2_58,0.323935712026903
Stationary Combustion - Residential propane - R1_67_R2_58,0.03599285689187812
Stationary Combustion - Commercial fuel - R1_67_R2_58,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_58,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_58,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_58,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_58,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_58,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_85,0.4275844847245146
Mobile Combustion - Motorcycle - R1_67_R2_85,0.015227973998850824
Mobile Combustion - Trucks - R1_67_R2_85,0.7437176634882923
Mobile Combustion - Buses - R1_67_R2_85,0.008408836717262341
Electricity Consumption - Residential Electricity - R1_67_R2_85,0.2543515552226261
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_85,0.29210435729550666
Stationary Combustion - Residential fuel oil - R1_67_R2_85,0.3158367468604144
Stationary Combustion - Residential natural gas - R1_67_R2_85,0.22441032013766288
Stationary Combustion - Residential propane - R1_67_R2_85,0.02493448001529587
Stationary Combustion - Commercial fuel - R1_67_R2_85,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_85,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_85,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_85,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_85,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_85,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_62,0.5953484405606227
Mobile Combustion - Motorcycle - R1_67_R2_62,0.021202711737668842
Mobile Combustion - Trucks - R1_67_R2_62,1.0355173468476404
Mobile Combustion - Buses - R1_67_R2_62,0.011708067073052107
Electricity Consumption - Residential Electricity - R1_67_R2_62,0.35414709178122294
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_62,0.4067123102207185
Stationary Combustion - Residential fuel oil - R1_67_R2_62,0.439756168506054
Stationary Combustion - Residential natural gas - R1_67_R2_62,0.31245833025430153
Stationary Combustion - Residential propane - R1_67_R2_62,0.03471759225047794
Stationary Combustion - Commercial fuel - R1_67_R2_62,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_62,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_62,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_62,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_62,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_62,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_50,0.6778907850743896
Mobile Combustion - Motorcycle - R1_67_R2_50,0.024142370965177205
Mobile Combustion - Trucks - R1_67_R2_50,1.179087101583189
Mobile Combustion - Buses - R1_67_R2_50,0.013331337144985302
Electricity Consumption - Residential Electricity - R1_67_R2_50,0.40324796996749523
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_50,0.46310111607131543
Stationary Combustion - Residential fuel oil - R1_67_R2_50,0.5007263545179625
Stationary Combustion - Residential natural gas - R1_67_R2_50,0.3557792518943418
Stationary Combustion - Residential propane - R1_67_R2_50,0.03953102798826019
Stationary Combustion - Commercial fuel - R1_67_R2_50,0.3075679649058196
Stationary Combustion - Industrial fuel - R1_67_R2_50,0.10873873169267187
Agriculture & Land management - Organic fertilizer - R1_67_R2_50,3.165386972155727e-05
Agriculture & Land management - Synthetic fertilizer - R1_67_R2_50,0.009308892394134932
Agriculture & Land management - Manure fertilizer - R1_67_R2_50,2.7809270160234527e-05
Wastewater treatment - Wastewater - R1_67_R2_50,0.029749877603623617
Mobile Combustion - Automobile - R1_67_R2_86,0.4219656110392862
Mobile Combustion - Motorcycle - R1_67_R2_86,0.015027863692143574
Mobile Combustion - Trucks - R1_67_R2_86,0.7339444940728812
Mobile Combustion - Buses - R1_67_R2_86,0.00829833646984469
Electricity Consumption - Residential Electricity - R1_67_R2_86,0.25100912978041645
Electricity Consumption - Commercial&Industrial Electricity - R1_67_R2_86,0.28826582351988167
Stationary Combustion - Residential fuel oil - R1_67_R2_86,0.31168634653214833
Stationary Combustion - Residential natural gas - R1_67_R2_86,0.22146135148336854
Stationary Combustion - Residential propane - R1_67_R2_86,0.02460681683148539
